Common name	Scientific name	Status	No.	No. Back
Antarctic Prion	Pachyptila desolata		1	0
Slender-billed Prion	Pachyptila belcheri		0	0
Fairy Prion	Pachyptila turtur		5	1
Kerguelen Petrel	Aphrodroma brevirostris		2	0
Great-winged Petrel	Pterodroma macroptera		1	0
White-headed Petrel	Pterodroma lessonii		0	0
Atlantic Petrel	Pterodroma incerta		1	1
Murphy's Petrel	Pterodroma ultima		0	0
Soft-plumaged Petrel	Pterodroma mollis		0	1
Fea's Petrel	Pterodroma feae		0	0
Bermuda Petrel	Pterodroma cahow		0	0
Black-capped Petrel	Pterodroma hasitata		0	0
Juan Fernandez Petrel	Pterodroma externa		0	0
Kermadec Petrel	Pterodroma neglecta		3	1
Herald Petrel	Pterodroma heraldica		12	0
Trindade Petrel	Pterodroma arminjoniana		4	1
Phoenix Petrel	Pterodroma alba		1	0
Galapagos Petrel	Pterodroma phaeopygia		1	0
Mottled Petrel	Pterodroma inexpectata		1	0
White-necked Petrel	Pterodroma cervicalis		0	0
Black-winged Petrel	Pterodroma nigripennis		1	0
Gould's Petrel	Pterodroma leucoptera		0	0
Cook's Petrel	Pterodroma cookii		3	0
De Filippi's Petrel	Pterodroma defilippiana		0	0
Stejneger's Petrel	Pterodroma longirostris		0	0
Tahiti Petrel	Pseudobulweria rostrata		2	0
Grey Petrel	Procellaria cinerea		2	0
White-chinned Petrel	Procellaria aequinoctialis		1	0
Black Petrel	Procellaria parkinsoni		2	0
Westland Petrel	Procellaria westlandica		3	0
Streaked Shearwater	Calonectris leucomelas		0	0
Cory's Shearwater	Calonectris borealis		42	5
Cape Verde Shearwater	Calonectris edwardsii		0	0
Wedge-tailed Shearwater	Puffinus pacificus		20	1
Buller's Shearwater	Puffinus bulleri		0	0
Sooty Shearwater	Puffinus griseus		10	1
Short-tailed Shearwater	Puffinus tenuirostris		3	0
Pink-footed Shearwater	Puffinus creatopus		13	1
Flesh-footed Shearwater	Puffinus carneipes		7	0
Great Shearwater	Puffinus gravis		1	1
Christmas Shearwater	Puffinus nativitatis		4	0
Manx Shearwater	Puffinus puffinus		144	3
Black-vented Shearwater	Puffinus opisthomelas		1	0
Townsend's Shearwater	Puffinus auricularis		0	0
Audubon's Shearwater	Puffinus lherminieri		2	0
Little Shearwater	Puffinus assimilis		0	0
Bulwer's Petrel	Bulweria bulwerii		3	0
Wilson's Storm Petrel	Oceanites oceanicus		0	0
Elliot's Storm Petrel	Oceanites gracilis		0	0
Grey-backed Storm Petrel	Garrodia nereis		0	0
White-faced Storm Petrel	Pelagodroma marina		1	0
White-bellied Storm Petrel	Fregetta grallaria		0	0
Black-bellied Storm Petrel	Fregetta tropica		0	0
Polynesian Storm Petrel	Nesofregetta fuliginosa		0	0
European Storm Petrel	Hydrobates pelagicus		40	4
Least Storm Petrel	Oceanodroma microsoma		0	0
Wedge-rumped Storm Petrel	Oceanodroma tethys		0	0
Band-rumped Storm Petrel	Oceanodroma castro		9	6
Swinhoe's Storm Petrel	Oceanodroma monorhis		3	0
Leach's Storm Petrel	Oceanodroma leucorhoa		7	0
Markham's Storm Petrel	Oceanodroma markhami		0	0
Black Storm Petrel	Oceanodroma melania		0	0
Ashy Storm Petrel	Oceanodroma homochroa		1	0
Hornby's Storm Petrel	Oceanodroma hornbyi		1	0
Fork-tailed Storm Petrel	Oceanodroma furcata		3	0
Peruvian Diving Petrel	Pelecanoides garnotii		0	0
Magellanic Diving Petrel	Pelecanoides magellani		0	0
Common Diving Petrel	Pelecanoides urinatrix		2	0
Least Grebe	Tachybaptus dominicus		52	8
Pied-billed Grebe	Podilymbus podiceps		116	64
White-tufted Grebe	Rollandia rolland		8	1
Titicaca Grebe	Rollandia microptera		4	0
Great Grebe	Podiceps major		23	3
Red-necked Grebe	Podiceps grisegena		78	45
Horned Grebe	Podiceps auritus		46	2
Black-necked Grebe	Podiceps nigricollis		46	21
Silvery Grebe	Podiceps occipitalis		30	4
Junin Grebe	Podiceps taczanowskii		11	0
Hooded Grebe	Podiceps gallardoi		19	10
Western Grebe	Aechmophorus occidentalis		33	14
Clark's Grebe	Aechmophorus clarkii		11	8
American Flamingo	Phoenicopterus ruber		9	1
Chilean Flamingo	Phoenicopterus chilensis		14	4
Lesser Flamingo	Phoeniconaias minor		10	0
Andean Flamingo	Phoenicoparrus andinus		15	0
James's Flamingo	Phoenicoparrus jamesi		9	4
Red-billed Tropicbird	Phaethon aethereus		13	5
Red-tailed Tropicbird	Phaethon rubricauda		25	35
White-tailed Tropicbird	Phaethon lepturus		16	0
Wood Stork	Mycteria americana		16	7
Maguari Stork	Ciconia maguari		3	0
Jabiru	Jabiru mycteria		12	2
Plumbeous Ibis	Theristicus caerulescens		40	37
Buff-necked Ibis	Theristicus caudatus		84	46
Black-faced Ibis	Theristicus melanopis		24	4
Sharp-tailed Ibis	Cercibis oxycerca		14	3
Green Ibis	Mesembrinibis cayennensis		66	40
Bare-faced Ibis	Phimosus infuscatus		12	1
American White Ibis	Eudocimus albus		26	8
